Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
F1,06/08/2021,20:00,Monaco,Nantes,1,1,D,1,1,D,15,5,3,1,6,14,5,2,0,0,0,0
F1,07/08/2021,16:00,Lyon,Brest,1,1,D,0,1,A,17,13,4,8,10,12,9,4,1,1,0,0
F1,07/08/2021,20:00,Troyes,Paris SG,1,2,A,1,2,A,15,12,7,3,3,15,9,1,1,4,0,0
F1,08/08/2021,12:00,Rennes,Lens,1,1,D,1,1,D,10,11,2,6,10,14,3,9,0,2,0,0
F1,08/08/2021,14:00,Bordeaux,Clermont,0,2,A,0,0,D,10,19,6,10,13,9,5,10,1,0,0,0
F1,08/08/2021,14:00,Nice,Reims,0,0,D,0,0,D,12,5,2,0,10,8,4,2,1,1,0,0
F1,08/08/2021,14:00,St Etienne,Lorient,1,1,D,0,0,D,20,12,3,3,10,14,8,4,2,3,0,0
F1,08/08/2021,14:00,Strasbourg,Angers,0,2,A,0,0,D,7,9,1,2,18,18,5,4,2,3,0,0
F1,08/08/2021,16:00,Metz,Lille,3,3,D,2,1,H,12,18,5,7,9,10,4,5,1,2,1,0
F1,08/08/2021,19:45,Montpellier,Marseille,2,3,A,2,0,H,8,21,1,7,10,5,6,11,0,1,0,0
F1,13/08/2021,20:00,Lorient,Monaco,1,0,H,1,0,H,2,12,2,3,17,15,0,6,3,2,0,0
F1,14/08/2021,16:00,Lille,Nice,0,4,A,0,3,A,11,11,2,7,9,13,8,7,3,1,0,0
F1,14/08/2021,20:00,Paris SG,Strasbourg,4,2,H,3,0,H,11,8,6,2,6,18,4,4,1,4,0,1
F1,15/08/2021,12:00,Angers,Lyon,3,0,H,1,0,H,13,8,6,3,11,17,6,4,1,5,0,1
F1,15/08/2021,14:00,Brest,Rennes,1,1,D,0,0,D,10,6,5,2,7,16,6,11,2,3,0,0
F1,15/08/2021,14:00,Clermont,Troyes,2,0,H,0,0,D,18,6,8,1,6,11,9,2,1,3,0,1
F1,15/08/2021,14:00,Nantes,Metz,2,0,H,1,0,H,11,10,7,5,18,11,6,6,2,0,0,0
F1,15/08/2021,14:00,Reims,Montpellier,3,3,D,2,3,A,19,15,9,5,11,12,8,7,2,1,0,0
F1,15/08/2021,16:00,Lens,St Etienne,2,2,D,1,1,D,22,12,7,7,10,17,7,2,1,6,0,0
F1,15/08/2021,19:45,Marseille,Bordeaux,2,2,D,2,0,H,10,8,2,2,6,11,3,4,2,2,1,0
F1,20/08/2021,20:00,Brest,Paris SG,2,4,A,1,2,A,11,16,3,8,8,7,3,9,1,2,0,0
F1,21/08/2021,16:00,Monaco,Lens,0,2,A,0,0,D,9,4,2,2,11,14,13,3,1,1,1,1
F1,21/08/2021,20:00,St Etienne,Lille,1,1,D,0,1,A,10,8,2,6,14,10,5,3,1,3,0,0
F1,22/08/2021,12:00,Lyon,Clermont,3,3,D,3,1,H,21,17,9,5,10,6,5,8,2,2,0,0
F1,22/08/2021,14:00,Bordeaux,Angers,1,1,D,1,1,D,14,6,5,3,19,5,3,3,2,0,0,0
F1,22/08/2021,14:00,Metz,Reims,1,1,D,1,1,D,10,12,4,3,19,14,5,8,4,2,1,1
F1,22/08/2021,14:00,Montpellier,Lorient,3,1,H,0,1,A,32,5,11,4,8,13,5,1,0,6,0,2
F1,22/08/2021,14:00,Strasbourg,Troyes,1,1,D,0,1,A,14,10,4,6,16,17,6,3,3,1,0,0
F1,22/08/2021,16:00,Rennes,Nantes,1,0,H,0,0,D,14,4,5,1,14,13,6,2,2,2,0,0
F1,27/08/2021,20:00,Nantes,Lyon,0,1,A,0,1,A,18,12,5,5,7,11,6,6,2,2,0,1
F1,28/08/2021,16:00,Nice,Bordeaux,4,0,H,3,0,H,11,13,5,4,18,11,3,0,3,2,0,0
F1,28/08/2021,20:00,Marseille,St Etienne,3,1,H,1,1,D,19,11,5,7,11,18,5,4,1,3,0,0
F1,29/08/2021,12:00,Troyes,Monaco,1,2,A,0,1,A,12,7,3,4,11,11,5,3,1,2,0,0
F1,29/08/2021,14:00,Angers,Rennes,2,0,H,0,0,D,16,7,4,2,14,10,3,1,1,2,0,1
F1,29/08/2021,14:00,Clermont,Metz,2,2,D,1,2,A,16,12,4,4,11,15,6,3,1,2,0,0
F1,29/08/2021,14:00,Lens,Lorient,2,2,D,1,2,A,19,15,9,7,10,10,8,4,2,4,0,0
F1,29/08/2021,14:00,Strasbourg,Brest,3,1,H,2,1,H,11,11,5,5,12,10,1,9,1,1,0,0
F1,29/08/2021,16:00,Lille,Montpellier,2,1,H,1,1,D,15,6,4,3,15,19,3,4,3,7,0,1
F1,29/08/2021,19:45,Reims,Paris SG,0,2,A,0,1,A,11,12,4,3,13,13,3,3,1,3,0,0
F1,10/09/2021,20:00,Lorient,Lille,2,1,H,1,1,D,14,9,7,3,13,11,2,5,2,2,0,0
F1,11/09/2021,16:00,Paris SG,Clermont,4,0,H,2,0,H,13,14,7,2,13,9,4,4,0,1,0,0
F1,11/09/2021,20:00,Monaco,Marseille,0,2,A,0,1,A,7,13,0,5,17,8,3,2,4,1,0,0
F1,12/09/2021,12:00,Montpellier,St Etienne,2,0,H,1,0,H,11,14,4,2,15,17,7,6,1,4,0,0
F1,12/09/2021,14:00,Bordeaux,Lens,2,3,A,0,2,A,11,12,3,5,8,11,2,7,3,2,0,0
F1,12/09/2021,14:00,Brest,Angers,1,1,D,0,0,D,12,8,6,2,19,9,5,3,3,2,1,0
F1,12/09/2021,14:00,Metz,Troyes,0,2,A,0,0,D,16,10,2,5,15,14,2,1,2,1,0,0
F1,12/09/2021,14:00,Rennes,Reims,0,2,A,0,1,A,9,7,1,3,18,11,4,6,1,2,0,0
F1,12/09/2021,16:00,Nantes,Nice,0,2,A,0,0,D,19,9,7,3,7,13,8,3,2,3,0,0
F1,12/09/2021,19:45,Lyon,Strasbourg,3,1,H,1,0,H,14,12,7,4,8,11,4,6,2,1,0,0
F1,17/09/2021,20:00,Strasbourg,Metz,3,0,H,3,0,H,10,15,6,5,16,8,3,7,2,4,0,0
F1,18/09/2021,16:00,Lens,Lille,1,0,H,0,0,D,13,6,4,2,12,8,4,3,2,2,0,0
F1,18/09/2021,20:00,St Etienne,Bordeaux,1,2,A,0,1,A,12,13,5,3,9,11,7,2,1,4,0,0
F1,19/09/2021,12:00,Nice,Monaco,2,2,D,0,1,A,12,8,3,3,17,12,5,2,2,3,0,0
F1,19/09/2021,14:00,Angers,Nantes,1,4,A,1,3,A,10,8,5,4,10,16,10,5,2,2,0,0
F1,19/09/2021,14:00,Clermont,Brest,1,1,D,0,0,D,7,5,4,1,7,19,3,5,1,1,1,0
F1,19/09/2021,14:00,Reims,Lorient,0,0,D,0,0,D,10,6,2,3,12,14,5,6,2,3,0,0
F1,19/09/2021,14:00,Troyes,Montpellier,1,1,D,1,0,H,8,6,3,2,16,11,1,6,4,4,0,1
F1,19/09/2021,16:00,Marseille,Rennes,2,0,H,0,0,D,17,13,6,2,5,17,6,7,0,2,0,0
F1,19/09/2021,19:45,Paris SG,Lyon,2,1,H,0,0,D,14,12,5,5,13,19,10,4,3,1,0,0
F1,22/09/2021,18:00,Lille,Reims,2,1,H,2,0,H,7,11,4,5,16,14,4,4,2,1,0,0
F1,22/09/2021,18:00,Monaco,St Etienne,3,1,H,1,1,D,14,9,6,3,16,13,6,3,1,1,0,1
F1,22/09/2021,18:00,Montpellier,Bordeaux,3,3,D,1,2,A,15,15,6,7,10,8,6,6,0,2,0,0
F1,22/09/2021,18:00,Nantes,Brest,3,1,H,1,0,H,14,10,6,2,8,13,4,4,1,2,0,0
F1,22/09/2021,18:00,Rennes,Clermont,6,0,H,2,0,H,21,4,10,1,14,5,5,7,2,1,0,0
F1,22/09/2021,20:00,Angers,Marseille,0,0,D,0,0,D,9,6,1,1,9,7,4,2,1,3,0,0
F1,22/09/2021,20:00,Lens,Strasbourg,0,1,A,0,0,D,17,6,4,1,14,7,7,3,2,3,1,0
F1,22/09/2021,20:00,Lorient,Nice,1,0,H,1,0,H,8,13,1,1,12,16,6,5,2,4,1,0
F1,22/09/2021,20:00,Lyon,Troyes,3,1,H,0,1,A,15,12,8,7,7,9,7,3,1,3,0,0
F1,22/09/2021,20:00,Metz,Paris SG,1,2,A,1,1,D,6,15,2,5,12,12,3,3,6,2,1,0
F1,25/09/2021,16:00,St Etienne,Nice,0,3,A,0,1,A,11,14,6,9,9,13,2,9,0,2,0,0
F1,25/09/2021,18:00,Strasbourg,Lille,1,2,A,0,1,A,10,16,3,7,16,12,8,8,4,4,1,0
F1,25/09/2021,20:00,Lyon,Lorient,1,1,D,0,1,A,12,12,2,5,9,10,9,3,1,2,1,0
F1,25/09/2021,20:00,Paris SG,Montpellier,2,0,H,1,0,H,16,10,5,4,10,8,8,7,0,1,0,0
F1,26/09/2021,12:00,Bordeaux,Rennes,1,1,D,0,0,D,10,18,3,8,6,20,8,6,1,4,0,0
F1,26/09/2021,14:00,Brest,Metz,1,2,A,0,1,A,11,6,2,4,16,16,4,3,3,2,0,0
F1,26/09/2021,14:00,Reims,Nantes,3,1,H,0,0,D,9,11,5,2,14,10,3,7,1,1,0,0
F1,26/09/2021,14:00,Troyes,Angers,1,1,D,1,0,H,6,17,3,6,9,8,2,9,4,2,1,0
F1,26/09/2021,16:00,Clermont,Monaco,1,3,A,1,1,D,12,6,4,3,9,12,5,1,2,4,0,0
F1,26/09/2021,19:45,Marseille,Lens,2,3,A,2,2,D,14,14,4,5,4,14,5,7,2,1,0,0
F1,01/10/2021,20:00,Lens,Reims,2,0,H,1,0,H,13,3,7,0,13,13,5,3,3,1,0,1
F1,02/10/2021,16:00,Montpellier,Strasbourg,1,1,D,1,1,D,12,6,4,3,12,14,3,4,2,0,0,0
F1,02/10/2021,20:00,Nice,Brest,2,1,H,1,0,H,20,6,9,2,8,12,6,2,1,1,0,0
F1,03/10/2021,12:00,Rennes,Paris SG,2,0,H,1,0,H,12,13,4,0,9,4,4,4,2,3,0,0
F1,03/10/2021,14:00,Angers,Metz,3,2,H,0,1,A,18,2,5,2,16,11,12,2,1,3,0,0
F1,03/10/2021,14:00,Lorient,Clermont,1,1,D,0,1,A,6,8,1,4,19,12,4,4,2,1,0,0
F1,03/10/2021,14:00,Monaco,Bordeaux,3,0,H,1,0,H,12,4,4,1,12,13,10,2,2,1,0,0
F1,03/10/2021,14:00,Nantes,Troyes,2,0,H,0,0,D,8,15,4,4,14,10,3,7,2,2,0,0
F1,03/10/2021,16:00,Lille,Marseille,2,0,H,1,0,H,12,10,5,3,10,13,3,5,2,3,0,1
F1,03/10/2021,19:45,St Etienne,Lyon,1,1,D,0,1,A,18,15,6,5,14,10,6,4,2,3,0,1
F1,15/10/2021,20:00,Paris SG,Angers,2,1,H,0,1,A,13,7,2,2,8,10,6,5,1,2,0,0
F1,16/10/2021,16:00,Clermont,Lille,1,0,H,1,0,H,9,9,3,2,9,8,6,9,1,2,0,0
F1,16/10/2021,20:00,Lyon,Monaco,2,0,H,0,0,D,14,9,8,3,8,10,2,4,1,2,0,0
F1,17/10/2021,12:00,Troyes,Nice,1,0,H,1,0,H,8,11,3,3,10,20,3,3,2,1,0,0
F1,17/10/2021,14:00,Bordeaux,Nantes,1,1,D,0,0,D,8,13,1,7,10,16,2,5,2,3,0,0
F1,17/10/2021,14:00,Brest,Reims,1,1,D,0,1,A,9,13,4,2,18,13,7,7,3,4,0,0
F1,17/10/2021,14:00,Metz,Rennes,0,3,A,0,3,A,9,21,2,8,14,9,4,10,3,1,0,0
F1,17/10/2021,14:00,Strasbourg,St Etienne,5,1,H,2,1,H,12,4,6,2,18,10,7,4,3,2,0,1
F1,17/10/2021,16:00,Montpellier,Lens,1,0,H,0,0,D,15,19,6,5,8,16,3,2,4,4,1,0
F1,17/10/2021,19:45,Marseille,Lorient,4,1,H,1,1,D,16,15,6,7,7,10,6,4,0,1,0,0
F1,22/10/2021,20:00,St Etienne,Angers,2,2,D,0,1,A,17,4,6,2,12,18,6,1,0,3,0,0
F1,23/10/2021,16:00,Nantes,Clermont,2,1,H,1,0,H,8,4,4,1,15,11,1,3,1,0,1,1
F1,23/10/2021,20:00,Lille,Brest,1,1,D,1,1,D,13,13,3,5,10,15,5,4,1,2,0,0
F1,24/10/2021,12:00,Nice,Lyon,3,2,H,0,1,A,17,13,7,8,11,7,3,2,1,0,0,1
F1,24/10/2021,14:00,Lens,Metz,4,1,H,2,1,H,11,9,5,4,9,13,5,6,2,3,0,0
F1,24/10/2021,14:00,Lorient,Bordeaux,1,1,D,0,0,D,14,11,4,5,12,13,9,4,4,2,0,1
F1,24/10/2021,14:00,Reims,Troyes,1,2,A,1,1,D,18,7,5,4,14,13,7,1,4,2,1,0
F1,24/10/2021,14:00,Rennes,Strasbourg,1,0,H,0,0,D,17,8,3,2,6,11,11,6,1,2,0,0
F1,24/10/2021,16:00,Monaco,Montpellier,3,1,H,2,0,H,14,12,4,3,14,16,4,4,1,4,0,0
F1,24/10/2021,19:45,Marseille,Paris SG,0,0,D,0,0,D,15,10,1,4,7,8,4,5,1,2,0,1
F1,27/10/2021,20:00,Nice,Marseille,1,1,D,1,1,D,11,7,3,1,16,8,6,5,2,2,0,0
F1,29/10/2021,20:00,Paris SG,Lille,2,1,H,0,1,A,17,11,6,3,7,10,4,5,1,5,0,0
F1,30/10/2021,16:00,Metz,St Etienne,1,1,D,1,1,D,9,10,4,3,16,11,5,8,0,3,0,0
F1,30/10/2021,20:00,Lyon,Lens,2,1,H,2,0,H,13,18,4,10,7,13,3,5,1,2,0,0
F1,31/10/2021,12:00,Angers,Nice,1,2,A,1,0,H,3,14,2,5,14,9,3,8,1,2,0,0
F1,31/10/2021,14:00,Bordeaux,Reims,3,2,H,0,1,A,17,12,7,8,5,10,12,2,3,2,0,0
F1,31/10/2021,14:00,Montpellier,Nantes,2,0,H,0,0,D,19,12,10,1,12,23,5,5,3,5,0,0
F1,31/10/2021,14:00,Strasbourg,Lorient,4,0,H,3,0,H,15,5,6,0,12,10,6,3,1,0,0,0
F1,31/10/2021,14:00,Troyes,Rennes,2,2,D,2,1,H,14,13,5,5,6,15,5,12,0,1,0,0
F1,31/10/2021,16:00,Brest,Monaco,2,0,H,1,0,H,7,5,3,2,8,17,2,5,1,5,0,0
F1,31/10/2021,19:45,Clermont,Marseille,0,1,A,0,1,A,12,9,1,4,14,11,4,2,1,4,0,0
F1,05/11/2021,20:00,Lens,Troyes,4,0,H,3,0,H,28,14,12,6,14,8,4,2,1,1,0,0
F1,06/11/2021,16:00,Lille,Angers,1,1,D,1,0,H,11,9,6,5,13,9,4,8,2,2,1,0
F1,06/11/2021,20:00,Bordeaux,Paris SG,2,3,A,0,2,A,18,9,6,5,9,10,10,5,2,1,0,0
F1,07/11/2021,12:00,Marseille,Metz,0,0,D,0,0,D,15,12,3,4,8,9,9,7,1,3,0,1
F1,07/11/2021,14:00,Lorient,Brest,1,2,A,1,0,H,9,16,3,5,10,8,3,6,1,1,1,0
F1,07/11/2021,14:00,Nantes,Strasbourg,2,2,D,1,1,D,20,17,6,6,15,12,9,5,2,1,0,1
F1,07/11/2021,14:00,Reims,Monaco,0,0,D,0,0,D,11,12,4,3,9,13,5,6,0,2,0,0
F1,07/11/2021,14:00,St Etienne,Clermont,3,2,H,0,0,D,18,9,4,4,7,10,9,2,1,1,0,0
F1,07/11/2021,16:00,Nice,Montpellier,0,1,A,0,0,D,22,8,6,2,9,7,8,2,2,0,0,0
F1,07/11/2021,19:45,Rennes,Lyon,4,1,H,1,0,H,25,6,12,4,12,12,7,2,2,2,0,0
F1,19/11/2021,20:00,Monaco,Lille,2,2,D,1,2,A,17,15,8,8,15,16,6,5,3,5,1,0
F1,20/11/2021,16:00,Paris SG,Nantes,3,1,H,1,0,H,14,12,7,6,8,12,4,3,1,2,1,0
F1,20/11/2021,20:00,Rennes,Montpellier,2,0,H,2,0,H,30,4,7,2,9,10,8,2,1,3,0,1
F1,21/11/2021,12:00,Brest,Lens,4,0,H,3,0,H,13,14,5,5,7,7,5,5,1,2,0,1
F1,21/11/2021,14:00,Angers,Lorient,1,0,H,0,0,D,8,10,4,3,15,13,6,3,4,0,0,0
F1,21/11/2021,14:00,Metz,Bordeaux,3,3,D,1,2,A,20,19,9,5,12,11,2,4,2,2,1,0
F1,21/11/2021,14:00,Strasbourg,Reims,1,1,D,0,1,A,21,10,3,3,8,13,5,4,1,4,0,0
F1,21/11/2021,14:00,Troyes,St Etienne,0,1,A,0,0,D,15,14,3,4,13,11,6,8,1,4,0,0
F1,21/11/2021,16:00,Clermont,Nice,1,2,A,1,0,H,18,9,6,4,7,16,3,5,1,4,0,0
F1,26/11/2021,20:00,Lens,Angers,2,2,D,0,1,A,9,12,4,5,15,6,5,5,2,0,0,0
F1,27/11/2021,16:00,Lille,Nantes,1,1,D,1,1,D,10,7,3,3,7,12,12,1,1,2,0,1
F1,27/11/2021,20:00,Nice,Metz,0,1,A,0,1,A,20,4,2,1,13,12,8,1,2,2,0,0
F1,28/11/2021,12:00,St Etienne,Paris SG,1,3,A,1,1,D,8,15,4,8,7,10,5,5,3,1,1,0
F1,28/11/2021,14:00,Bordeaux,Brest,1,2,A,1,0,H,16,14,4,4,13,11,5,2,3,1,0,0
F1,28/11/2021,14:00,Lorient,Rennes,0,2,A,0,0,D,6,11,0,5,11,11,3,4,0,2,0,0
F1,28/11/2021,14:00,Monaco,Strasbourg,1,1,D,1,0,H,8,7,3,4,12,9,4,3,2,1,0,0
F1,28/11/2021,14:00,Reims,Clermont,1,0,H,0,0,D,12,4,3,0,13,13,4,1,2,2,0,0
F1,28/11/2021,16:00,Montpellier,Lyon,0,1,A,0,1,A,15,11,6,3,7,15,8,5,1,4,0,0
F1,28/11/2021,19:45,Marseille,Troyes,1,0,H,0,0,D,14,5,4,2,10,17,7,3,1,4,0,0
